System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:36:41:805, 479367258325727,    0.114,   60.000, 2500,  14.042,   1.599,   0.444,  10.630,   1.211,   0.336, 57,  0,   2.309,   0.263,   0.073,   0.575,   0.065,   0.018,  30.000,  35.000,  60.000,  45.000,  45.000,  134,  26.423
17:36:41:930, 479367522976272,    0.239,   58.000, 2900,  15.904,   3.592,   0.998,  13.185,   2.863,   0.795, 63,  0,   1.846,   0.494,   0.137,   0.008,   0.067,   0.018,  30.000,  35.000,  60.000,  45.000,  45.000,  134,   0.000
17:36:42:041, 479367756685881,    0.350,   69.000, 2900,  15.474,   5.304,   1.473,  12.762,   4.275,   1.187, 64,  0,   1.972,   0.713,   0.198,   0.007,   0.067,   0.019,  30.000,  35.000,  60.000,  45.000,  45.000,    1,   0.000
17:36:42:152, 479367990098249,    0.460,   56.000, 2700,  14.388,   6.894,   1.915,  11.602,   5.557,   1.544, 62,  0,   2.085,   0.943,   0.262,   0.018,   0.069,   0.019,  30.000,  35.000,  60.000,  45.000,  45.000,    3,   0.124
17:36:42:263, 479368224609182,    0.571,   35.000, 2900,  15.511,   8.617,   2.394,  12.936,   6.994,   1.943, 63,  0,   1.402,   1.099,   0.305,   0.047,   0.074,   0.021,  30.000,  35.000,  60.000,  45.000,  45.000,   11,   1.850
17:36:42:390, 479368494181583,    0.699,   45.000, 2900,  14.857,  10.513,   2.920,  12.343,   8.569,   2.380, 62,  0,   1.280,   1.262,   0.351,   0.010,   0.076,   0.021,  30.000,  35.000,  60.000,  45.000,  45.000,   10,   0.307
17:36:42:502, 479368729658492,    0.811,   51.000, 2900,  17.474,  12.461,   3.461,  14.940,  10.235,   2.843, 66,  0,   1.432,   1.422,   0.395,   0.007,   0.076,   0.021,  30.000,  35.000,  60.000,  45.000,  45.000,    1,   0.000
17:36:42:612, 479368963020697,    0.921,   37.000, 2900,  14.183,  14.028,   3.897,  11.692,  11.527,   3.202, 62,  0,   1.229,   1.557,   0.433,   0.012,   0.078,   0.022,  30.000,  35.000,  60.000,  45.000,  45.000,    1,   0.055
17:36:42:722, 479369195357447,    1.031,   22.000, 3100,   9.430,  15.066,   4.185,   6.989,  12.295,   3.415, 64,  0,   1.085,   1.677,   0.466,   0.014,   0.079,   0.022,  30.000,  35.000,  60.000,  45.000,  45.000,   43,   1.491
17:36:42:833, 479369429643605,    1.142,   32.000, 3100,  12.333,  16.434,   4.565,   9.815,  13.384,   3.718, 63,  0,   1.299,   1.821,   0.506,   0.052,   0.085,   0.024,  30.000,  35.000,  60.000,  45.000,  45.000,    7,   0.983
17:36:42:944, 479369663248993,    1.253,   37.000, 2900,  13.013,  17.873,   4.965,  11.084,  14.610,   4.058, 61,  0,   1.545,   1.992,   0.553,   0.006,   0.086,   0.024,  30.000,  35.000,  60.000,  45.000,  45.000,  169,   0.000
17:36:43:054, 479369896623881,    1.363,   41.000, 2900,  18.130,  19.877,   5.521,  14.823,  16.248,   4.513, 61,  0,   1.654,   2.175,   0.604,   0.007,   0.086,   0.024,  30.000,  35.000,  60.000,  45.000,  45.000,    1,   0.000
17:36:43:164, 479370129037465,    1.473,   29.000, 3300,  12.080,  21.206,   5.891,   9.613,  17.306,   4.807, 59,  0,   1.244,   2.312,   0.642,   0.018,   0.088,   0.025,  30.000,  35.000,  60.000,  45.000,  45.000,    3,   0.123
17:36:43:290, 479370394355696,    1.599,   19.000, 3700,  12.224,  22.742,   6.317,   9.801,  18.537,   5.149, 70,  0,   1.060,   2.445,   0.679,   0.008,   0.089,   0.025,  30.000,  35.000,  60.000,  45.000,  45.000,  183,   0.000
17:36:43:463, 479370760670887,    1.772,   40.000, 3000,  14.602,  25.274,   7.021,  12.099,  20.636,   5.732, 66,  0,   1.307,   2.671,   0.742,   0.031,   0.095,   0.026,  30.000,  35.000,  60.000,  45.000,  45.000,    7,   0.984
17:36:43:700, 479371260600713,    2.009,  128.000, 3100,  24.901,  31.169,   8.658,  22.091,  25.865,   7.185, 76,  0,   2.189,   3.190,   0.886,   0.009,   0.097,   0.027,  30.000,  35.000,  60.000,  45.000,  45.000,    2,   0.075
