System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:16:13:287, 476772626695925,    0.244,   81.000, 1300,   7.631,   1.863,   0.518,   4.928,   1.203,   0.334, 58,  0,   1.562,   0.381,   0.106,   0.050,   0.012,   0.003,  30.000,  35.000,  60.000,  45.000,  45.000,   12,   1.798
17:16:13:557, 476773197626369,    0.515,  124.000, 1400,   6.605,   3.649,   1.014,   3.974,   2.278,   0.633, 58,  0,   1.452,   0.774,   0.215,   0.019,   0.018,   0.005,  30.000,  35.000,  60.000,  45.000,  45.000,    5,   0.613
17:16:13:732, 476773565997598,    0.689,   86.000, 1400,   7.821,   5.013,   1.393,   5.064,   3.161,   0.878, 58,  0,   1.834,   1.094,   0.304,   0.026,   0.022,   0.006,  30.000,  35.000,  60.000,  45.000,  45.000,    8,   0.801
17:16:13:976, 476774081755587,    0.933,   88.000, 1300,   8.542,   7.099,   1.972,   5.820,   4.582,   1.273, 58,  0,   1.685,   1.505,   0.418,   0.017,   0.026,   0.007,  30.000,  35.000,  60.000,  45.000,  45.000,    3,   0.213
17:16:14:247, 476774654202015,    1.204,  108.000, 1300,   7.417,   9.109,   2.530,   4.481,   5.797,   1.610, 58,  0,   1.773,   1.986,   0.552,   0.220,   0.086,   0.024,  30.000,  35.000,  60.000,  45.000,  45.000,   50,  10.421
17:16:14:528, 476775248275424,    1.485,   89.000, 1400,   7.199,  11.134,   3.093,   4.501,   7.063,   1.962, 58,  0,   1.693,   2.462,   0.684,   0.012,   0.089,   0.025,  30.000,  35.000,  60.000,  45.000,  45.000,    3,   0.371
17:16:14:828, 476775881145778,    1.785,  119.000, 1300,   8.765,  13.761,   3.822,   6.083,   8.886,   2.468, 58,  0,   1.544,   2.925,   0.812,   0.036,   0.100,   0.028,  30.000,  35.000,  60.000,  45.000,  45.000,    8,   1.269
17:16:15:070, 476776393630729,    2.028,   98.000, 1300,   6.094,  15.239,   4.233,   3.396,   9.710,   2.697, 58,  0,   1.675,   3.331,   0.925,   0.015,   0.103,   0.029,  30.000,  35.000,  60.000,  45.000,  45.000,    5,   0.212
17:16:15:295, 476776869268873,    2.253,   79.000, 1300,   7.378,  16.901,   4.695,   4.669,  10.761,   2.989, 59,  0,   1.602,   3.692,   1.026,   0.051,   0.115,   0.032,  30.000,  35.000,  60.000,  45.000,  45.000,   16,   1.875
17:16:15:588, 476777486024153,    2.545,  143.000, 1400,   7.957,  19.225,   5.340,   5.213,  12.283,   3.412, 58,  0,   1.792,   4.215,   1.171,   0.024,   0.122,   0.034,  30.000,  35.000,  60.000,  45.000,  45.000,    4,   0.226
17:16:15:762, 476777854640310,    2.720,   87.000, 1300,   7.789,  20.584,   5.718,   5.114,  13.176,   3.660, 59,  0,   1.584,   4.492,   1.248,   0.015,   0.125,   0.035,  30.000,  35.000,  60.000,  45.000,  45.000,    4,   0.166
17:16:15:966, 476778286076430,    2.924,  101.000, 1300,   7.487,  22.113,   6.143,   4.727,  14.142,   3.928, 58,  0,   1.816,   4.863,   1.351,   0.030,   0.131,   0.036,  30.000,  35.000,  60.000,  45.000,  45.000,    9,   1.159
17:16:16:186, 476778751169995,    3.144,   59.000, 1300,   7.652,  23.798,   6.611,   4.900,  15.221,   4.228, 58,  0,   1.807,   5.261,   1.461,   0.021,   0.135,   0.038,  30.000,  35.000,  60.000,  45.000,  45.000,    4,   0.138
17:16:16:588, 476779596967281,    3.545,  249.000, 1300,   7.862,  26.947,   7.485,   5.027,  17.234,   4.787, 58,  0,   1.737,   5.956,   1.655,   0.127,   0.186,   0.052,  30.000,  35.000,  60.000,  45.000,  45.000,   28,   5.876
17:16:16:715, 476779865615348,    3.672,   99.000, 1300,   7.236,  27.867,   7.741,   4.494,  17.805,   4.946, 59,  0,   1.796,   6.185,   1.718,   0.024,   0.189,   0.053,  30.000,  35.000,  60.000,  45.000,  45.000,    6,   0.279
17:16:16:826, 476780101041665,    3.783,   81.000, 1300,   7.038,  28.652,   7.959,   4.340,  18.289,   5.080, 58,  0,   1.615,   6.365,   1.768,   0.016,   0.191,   0.053,  30.000,  35.000,  60.000,  45.000,  45.000,    4,   0.128
17:16:17:027, 476780527005227,    3.985,   97.000, 1300,   7.993,  30.264,   8.407,   5.281,  19.354,   5.376, 58,  0,   1.655,   6.699,   1.861,   0.045,   0.200,   0.056,  30.000,  35.000,  60.000,  45.000,  45.000,   13,   1.822
17:16:17:319, 476781143443143,    4.277,   89.000, 1400,   7.291,  32.392,   8.998,   4.566,  20.687,   5.746, 59,  0,   1.723,   7.202,   2.000,   0.019,   0.206,   0.057,  30.000,  35.000,  60.000,  45.000,  45.000,    2,   0.102
17:16:17:565, 476781662677174,    4.523,  113.000, 1300,   7.365,  34.203,   9.501,   4.650,  21.830,   6.064, 59,  0,   1.654,   7.608,   2.113,   0.040,   0.216,   0.060,  30.000,  35.000,  60.000,  45.000,  45.000,    9,   1.585
