System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:37:53:462, 479518598814117,    0.124,   44.000, 2700,  11.044,   1.366,   0.379,   7.646,   0.946,   0.263, 60,  0,   1.953,   0.242,   0.067,   0.632,   0.078,   0.022,  30.000,  35.000,  60.000,  45.000,  45.000,  145,  19.601
17:37:53:573, 479518832352067,    0.234,   37.000, 3000,  14.639,   2.985,   0.829,  12.151,   2.289,   0.636, 65,  0,   1.281,   0.383,   0.106,   0.008,   0.079,   0.022,  30.000,  35.000,  60.000,  45.000,  45.000,    1,   0.000
17:37:53:681, 479519060792553,    0.342,   40.000, 2400,  14.282,   4.530,   1.258,  11.522,   3.536,   0.982, 62,  0,   1.900,   0.589,   0.164,   0.020,   0.081,   0.023,  30.000,  35.000,  60.000,  45.000,  45.000,    6,   0.236
17:37:53:808, 479519328556081,    0.469,   39.000, 2900,  13.464,   6.237,   1.732,  10.777,   4.902,   1.362, 64,  0,   1.436,   0.771,   0.214,   0.147,   0.100,   0.028,  30.000,  35.000,  60.000,  45.000,  45.000,   30,   5.830
17:37:53:965, 479519659842716,    0.626,   31.000, 2900,  11.472,   8.036,   2.232,   7.388,   6.061,   1.684, 62,  0,   2.243,   1.123,   0.312,   1.229,   0.293,   0.081,  30.000,  35.000,  60.000,  45.000,  45.000,  292,   2.698
17:37:54:074, 479519890540171,    0.735,   37.000, 3200,  18.494,  10.056,   2.793,  15.997,   7.808,   2.169, 68,  0,   1.237,   1.258,   0.349,   0.009,   0.294,   0.082,  30.000,  35.000,  60.000,  45.000,  45.000,    1,   0.000
17:37:54:186, 479520126057887,    0.847,   43.000, 2900,  17.126,  11.966,   3.324,  14.493,   9.424,   2.618, 68,  0,   1.614,   1.438,   0.399,   0.018,   0.296,   0.082,  30.000,  35.000,  60.000,  45.000,  45.000,    5,   0.235
17:37:54:297, 479520361070775,    0.958,   36.000, 3000,  16.719,  13.827,   3.841,  14.162,  11.000,   3.056, 67,  0,   1.428,   1.597,   0.443,   0.006,   0.296,   0.082,  30.000,  35.000,  60.000,  45.000,  45.000,    1,   0.000
17:37:54:406, 479520591411101,    1.067,   39.000, 2600,  11.615,  15.093,   4.193,   8.574,  11.935,   3.315, 64,  0,   1.794,   1.792,   0.498,   0.347,   0.334,   0.093,  30.000,  35.000,  60.000,  45.000,  45.000,   73,  15.207
17:37:54:532, 479520858403248,    1.194,   38.000, 3000,  14.182,  16.886,   4.691,  11.595,  13.401,   3.723, 63,  0,   1.302,   1.957,   0.544,   0.059,   0.342,   0.095,  30.000,  35.000,  60.000,  45.000,  45.000,   12,   2.202
